id,cash_request_id,type,status,category,total_amount,reason,created_at,updated_at,paid_at,from_date,to_date,charge_moment
19368,21375.0,postpone,accepted,,5.0,Postpone Cash Request 21375,28/10/2020,28/10/2020,28/10/2020,,10/11/2020,
20628,24848.0,postpone,cancelled,,5.0,Postpone Cash Request 24848,31/10/2020,31/10/2020,,06/11/2020,05/12/2020,
12182,19999.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 19999,09/10/2020,13/10/2020,31/10/2020,,,
13213,20941.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 20941,13/10/2020,13/10/2020,29/10/2020,,,
19844,25056.0,postpone,cancelled,,5.0,Postpone Cash Request 25056,29/10/2020,29/10/2020,,05/11/2020,20/11/2020,
20038,23591.0,postpone,cancelled,,5.0,Postpone Cash Request 23591,30/10/2020,30/10/2020,,13/11/2020,14/12/2020,
20280,23711.0,postpone,cancelled,,5.0,Postpone Cash Request 23711,30/10/2020,30/10/2020,,05/11/2020,06/11/2020,
20447,22455.0,postpone,cancelled,,5.0,Postpone Cash Request 22455,30/10/2020,30/10/2020,,30/10/2020,05/11/2020,
21023,26082.0,postpone,cancelled,,5.0,Postpone Cash Request 26082,01/11/2020,01/11/2020,,02/11/2020,03/11/2020,
18646,25223.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25223,27/10/2020,27/10/2020,04/11/2020,,,
16001,23109.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23109,22/10/2020,22/10/2020,02/11/2020,,,
14329,21738.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21738,17/10/2020,17/10/2020,05/11/2020,,,
17714,24552.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24552,26/10/2020,26/10/2020,05/11/2020,,,
15569,22812.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22812,21/10/2020,21/10/2020,08/11/2020,,,
14096,21658.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21658,16/10/2020,16/10/2020,29/10/2020,,,
20629,26661.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26661,31/10/2020,31/10/2020,09/11/2020,,,
13214,20942.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 20942,13/10/2020,13/10/2020,06/11/2020,,,
14876,21460.0,postpone,accepted,,5.0,Postpone Cash Request 21460,19/10/2020,19/10/2020,19/10/2020,03/11/2020,08/11/2020,
17481,24419.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24419,25/10/2020,25/10/2020,18/11/2020,,,
19369,25806.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25806,28/10/2020,28/10/2020,05/11/2020,,,
16410,22601.0,postpone,cancelled,,5.0,Postpone Cash Request 22601,23/10/2020,23/10/2020,,03/11/2020,06/11/2020,
15118,22420.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22420,20/10/2020,20/10/2020,12/11/2020,,,
19598,25974.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25974,29/10/2020,29/10/2020,03/12/2020,,,
18337,24955.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24955,27/10/2020,27/10/2020,30/11/2020,,,
18060,23516.0,postpone,accepted,,5.0,Postpone Cash Request 23516,26/10/2020,26/10/2020,26/10/2020,02/11/2020,09/11/2020,
13950,21513.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21513,16/10/2020,16/10/2020,06/11/2020,,,
20039,19905.0,postpone,accepted,,5.0,Postpone Cash Request 19905,30/10/2020,30/10/2020,30/10/2020,05/11/2020,12/11/2020,
13616,21222.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21222,15/10/2020,15/10/2020,30/10/2020,,,
