id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
3364,100.0,money_back,15/06/2020,18/12/2020,12824.0,15/06/2020,,,17/06/2020,,regular,,,,
3264,100.0,money_back,13/06/2020,18/12/2020,14855.0,14/06/2020,,,16/06/2020,,regular,,,,
8767,100.0,money_back,17/07/2020,18/12/2020,14304.0,20/07/2020,,,21/07/2020,,regular,,,,
4498,90.0,money_back,21/06/2020,18/12/2020,17229.0,22/06/2020,,,24/06/2020,,regular,,,,
3481,100.0,money_back,16/06/2020,18/12/2020,11794.0,16/06/2020,,,18/06/2020,,regular,,,,
3261,100.0,money_back,13/06/2020,18/12/2020,14839.0,15/06/2020,,,18/06/2020,,regular,,,,
10545,50.0,money_back,02/08/2020,18/12/2020,10337.0,02/08/2020,,,05/08/2020,08/09/2020,regular,09/08/2020,,,
14483,100.0,money_back,04/09/2020,18/12/2020,19492.0,04/09/2020,,,08/09/2020,26/10/2020,instant,11/09/2020,,,
7467,100.0,money_back,10/07/2020,18/12/2020,20015.0,10/07/2020,,,14/07/2020,,regular,,,,
6533,100.0,money_back,04/07/2020,18/12/2020,7961.0,04/07/2020,,,07/07/2020,,regular,,,,
5794,100.0,money_back,29/06/2020,18/12/2020,25064.0,30/06/2020,,,01/07/2020,,regular,,,,
2927,100.0,money_back,10/06/2020,18/12/2020,6744.0,11/06/2020,,,13/06/2020,,regular,,,,
7831,60.0,money_back,13/07/2020,18/12/2020,32640.0,13/07/2020,,,14/07/2020,,regular,,,,
6003,50.0,money_back,30/06/2020,18/12/2020,23807.0,01/07/2020,,,03/07/2020,,regular,,,,
14726,100.0,money_back,05/09/2020,18/12/2020,12441.0,05/09/2020,,,15/09/2020,06/10/2020,regular,12/09/2020,,,
7117,100.0,money_back,08/07/2020,18/12/2020,1017.0,08/07/2020,,,10/07/2020,,regular,,,,
5124,100.0,money_back,25/06/2020,18/12/2020,21194.0,25/06/2020,,02/08/2020,27/06/2020,,regular,,,,
7778,100.0,money_back,13/07/2020,18/12/2020,12202.0,13/07/2020,,,16/07/2020,04/09/2020,regular,,,,
6336,100.0,money_back,02/07/2020,18/12/2020,27345.0,03/07/2020,,,07/07/2020,,regular,,,,
4319,100.0,money_back,20/06/2020,18/12/2020,18338.0,20/06/2020,,,23/06/2020,,regular,,,,
3527,100.0,money_back,16/06/2020,18/12/2020,8091.0,17/06/2020,,,19/06/2020,,regular,,,,
4904,100.0,money_back,23/06/2020,18/12/2020,17981.0,24/06/2020,,,25/06/2020,,regular,,,,
3815,100.0,money_back,18/06/2020,18/12/2020,17712.0,18/06/2020,,,20/06/2020,,regular,,,,
7783,100.0,money_back,13/07/2020,18/12/2020,25804.0,13/07/2020,,,15/07/2020,,regular,,,,
3200,100.0,money_back,12/06/2020,18/12/2020,14533.0,13/06/2020,,,16/06/2020,,regular,,,,
3006,100.0,money_back,11/06/2020,18/12/2020,8199.0,11/06/2020,,,12/06/2020,,regular,,,,
